,Name,Overall,Value,Wage,Release Clause,Age,log_value,predicted_log_value,value_difference
1284,N. Nández,76,11500000,20000,18400000,22,16.25785759333348,15.460304850986127,-0.797552742347353
1469,J. Grealish,76,11500000,18000,24200000,22,16.25785759333348,15.460304850986127,-0.797552742347353
1124,Wesley,77,13500000,20000,23000000,21,16.41820024340866,15.650274018081525,-0.767926225327134
1098,J. Augustin,77,13500000,39000,25700000,21,16.41820024340866,15.650274018081525,-0.767926225327134
1275,M. Rashica,76,11000000,25000,20900000,22,16.213405830762646,15.460304850986127,-0.7531009797765194
1501,Y. Yazıcı,76,11000000,22000,24200000,21,16.213405830762646,15.460304850986127,-0.7531009797765194
1479,K. Tierney,76,11000000,32000,22000000,21,16.213405830762646,15.460304850986127,-0.7531009797765194
1239,A. Halilović,76,11000000,61000,20900000,22,16.213405830762646,15.460304850986127,-0.7531009797765194
1519,D. Gray,76,11000000,50000,23100000,22,16.213405830762646,15.460304850986127,-0.7531009797765194
415,H. Aouar,80,23500000,51000,49400000,20,16.972510979114386,16.22018151936772,-0.7523294597466652
728,F. Chiesa,78,16000000,46000,30400000,20,16.588099280204055,15.840243185176924,-0.7478560950271316
775,Y. Tielemans,78,16000000,47000,33600000,21,16.588099280204055,15.840243185176924,-0.7478560950271316
156,Gabriel Jesus,83,41000000,130000,84100000,21,17.529082624668582,16.790089020653916,-0.7389936040146665
1085,R. Loftus-Cheek,77,13000000,76000,26700000,22,16.38045991542581,15.650274018081525,-0.7301858973442847
1109,E. Gutiérrez,77,13000000,15000,20800000,23,16.38045991542581,15.650274018081525,-0.7301858973442847
1110,D. Upamecano,77,13000000,18000,24700000,19,16.38045991542581,15.650274018081525,-0.7301858973442847
1129,H. Winks,77,13000000,66000,26700000,22,16.38045991542581,15.650274018081525,-0.7301858973442847
922,J. Maddison,77,13000000,45000,27300000,21,16.38045991542581,15.650274018081525,-0.7301858973442847
1060,D. Zakaria,77,13000000,21000,24700000,21,16.38045991542581,15.650274018081525,-0.7301858973442847
756,Diogo Jota,78,15500000,56000,32600000,21,16.556350581889475,15.840243185176924,-0.7161073967125517
155,O. Dembélé,83,40000000,155000,90000000,21,17.50439001207821,16.790089020653916,-0.7143009914242953
414,T. Ndombele,80,22500000,51000,47300000,21,16.929025867174648,16.22018151936772,-0.7088443478069273
1531,A. Umar,76,10500000,13000,21800000,23,16.166885815127753,15.460304850986127,-0.7065809641416259
1237,E. Boateng,76,10500000,22000,24200000,22,16.166885815127753,15.460304850986127,-0.7065809641416259
1255,R. Marin,76,10500000,15000,17900000,22,16.166885815127753,15.460304850986127,-0.7065809641416259
1256,Ayoze Pérez,76,10500000,42000,20700000,24,16.166885815127753,15.460304850986127,-0.7065809641416259
1315,R. Pizarro,76,10500000,37000,20000000,24,16.166885815127753,15.460304850986127,-0.7065809641416259
1375,G. Laborde,76,10500000,24000,21800000,24,16.166885815127753,15.460304850986127,-0.7065809641416259
1378,Iván Alejo,76,10500000,20000,22800000,23,16.166885815127753,15.460304850986127,-0.7065809641416259
1461,V. Koziello,76,10500000,19000,17900000,22,16.166885815127753,15.460304850986127,-0.7065809641416259
1463,Alex Berenguer,76,10500000,34000,18600000,22,16.166885815127753,15.460304850986127,-0.7065809641416259
1489,I. Bebou,76,10500000,28000,19700000,24,16.166885815127753,15.460304850986127,-0.7065809641416259
1505,K. Linetty,76,10500000,28000,20000000,23,16.166885815127753,15.460304850986127,-0.7065809641416259
1550,M. Simon,76,10500000,20000,24200000,22,16.166885815127753,15.460304850986127,-0.7065809641416259
1233,Alfa Semedo,76,10500000,8000,23100000,20,16.166885815127753,15.460304850986127,-0.7065809641416259
1226,F. Acheampong,76,10500000,16000,23400000,24,16.166885815127753,15.460304850986127,-0.7065809641416259
1570,G. Donsah,76,10500000,27000,20000000,22,16.166885815127753,15.460304850986127,-0.7065809641416259
319,M. Rashford,81,27000000,110000,55400000,20,17.111347423968603,16.41015068646312,-0.7011967375054837
228,Arthur,82,32500000,125000,73100000,21,17.296750647299966,16.600119853558517,-0.6966307937414484
1102,D. van de Beek,77,12500000,14000,20000000,21,16.34123920227253,15.650274018081525,-0.6909651841910041
1072,W. Cyprien,77,12500000,28000,26300000,23,16.34123920227253,15.650274018081525,-0.6909651841910041
980,A. Živković,77,12500000,11000,27500000,21,16.34123920227253,15.650274018081525,-0.6909651841910041
938,L. Cook,77,12500000,44000,26300000,21,16.34123920227253,15.650274018081525,-0.6909651841910041
1007,Munir,77,12500000,115000,28100000,22,16.34123920227253,15.650274018081525,-0.6909651841910041
1066,D. Selke,77,12500000,27000,23800000,23,16.34123920227253,15.650274018081525,-0.6909651841910041
1183,A. Barák,77,12500000,24000,25000000,23,16.34123920227253,15.650274018081525,-0.6909651841910041
1105,W. Hughes,77,12500000,45000,26300000,23,16.34123920227253,15.650274018081525,-0.6909651841910041
413,K. Havertz,80,22000000,32000,41800000,19,16.90655301132259,16.22018151936772,-0.6863714919548691
771,G. Simeone,78,15000000,53000,28500000,22,16.523560759066484,15.840243185176924,-0.6833175738895605
321,L. Bailey,81,26500000,54000,50400000,20,17.09265529095645,16.41015068646312,-0.6825046044933316
570,C. Pulisic,79,18000000,26000,34200000,19,16.70588231586044,16.030212352272322,-0.6756699635881169
555,V. Tsygankov,79,18000000,1000,41400000,20,16.70588231586044,16.030212352272322,-0.6756699635881169
561,L. Martínez,79,18000000,54000,34200000,20,16.70588231586044,16.030212352272322,-0.6756699635881169
558,Raphinha,79,18000000,13000,39600000,21,16.70588231586044,16.030212352272322,-0.6756699635881169
589,A. Saint-Maximin,79,18000000,31000,37800000,21,16.70588231586044,16.030212352272322,-0.6756699635881169
559,A. Harit,79,18000000,27000,34200000,21,16.70588231586044,16.030212352272322,-0.6756699635881169
560,Richarlison,79,18000000,79000,37800000,21,16.70588231586044,16.030212352272322,-0.6756699635881169
557,David Neres,79,18000000,18000,28800000,21,16.70588231586044,16.030212352272322,-0.6756699635881169
575,S. Bergwijn,79,18000000,17000,28800000,20,16.70588231586044,16.030212352272322,-0.6756699635881169
236,Malcom,82,31500000,140000,70900000,21,17.26549810379586,16.600119853558517,-0.6653782502373424
326,Fabián,81,26000000,64000,49400000,22,17.073607095985757,16.41015068646312,-0.6634564095226381
323,F. de Jong,81,26000000,19000,41600000,21,17.073607095985757,16.41015068646312,-0.6634564095226381
1500,M. Benítez,76,10000000,18000,14800000,24,16.11809565095832,15.460304850986127,-0.6577907999721937
1506,F. Uduokhai,76,10000000,26000,19000000,20,16.11809565095832,15.460304850986127,-0.6577907999721937
1507,M. Samatta,76,10000000,18000,15800000,25,16.11809565095832,15.460304850986127,-0.6577907999721937
1530,D. Praet,76,10000000,28000,17800000,24,16.11809565095832,15.460304850986127,-0.6577907999721937
1558,Tozé,76,10000000,11000,21800000,25,16.11809565095832,15.460304850986127,-0.6577907999721937
1417,P. Højbjerg,76,10000000,38000,19800000,22,16.11809565095832,15.460304850986127,-0.6577907999721937
1205,N. Radoja,76,10000000,22000,21800000,25,16.11809565095832,15.460304850986127,-0.6577907999721937
1554,A. Rusnák,76,10000000,8000,15800000,23,16.11809565095832,15.460304850986127,-0.6577907999721937
1470,D. Pelkas,76,10000000,1000,21800000,24,16.11809565095832,15.460304850986127,-0.6577907999721937
1386,M. Konaté,76,10000000,20000,20800000,25,16.11809565095832,15.460304850986127,-0.6577907999721937
1252,Mario Hermoso,76,10000000,21000,23000000,23,16.11809565095832,15.460304850986127,-0.6577907999721937
1372,Y. Mutō,76,10000000,46000,19800000,25,16.11809565095832,15.460304850986127,-0.6577907999721937
1242,M. Livaja,76,10000000,1000,22800000,24,16.11809565095832,15.460304850986127,-0.6577907999721937
1288,F. Di Francesco,76,10000000,44000,17800000,24,16.11809565095832,15.460304850986127,-0.6577907999721937
1062,N. Castillo,77,12000000,14000,24900000,25,16.300417207752275,15.650274018081525,-0.6501431896707501
1192,A. Schöpf,77,12000000,27000,21300000,24,16.300417207752275,15.650274018081525,-0.6501431896707501
1088,A. Mitrović,77,12000000,52000,23700000,23,16.300417207752275,15.650274018081525,-0.6501431896707501
1113,E. Bardhi,77,12000000,22000,27600000,22,16.300417207752275,15.650274018081525,-0.6501431896707501
964,J. Calleri,77,12000000,24000,26100000,24,16.300417207752275,15.650274018081525,-0.6501431896707501
986,A. Miranchuk,77,12000000,1000,26100000,22,16.300417207752275,15.650274018081525,-0.6501431896707501
1063,D. Origi,77,12000000,83000,23700000,23,16.300417207752275,15.650274018081525,-0.6501431896707501
1159,F. Kamano,77,12000000,39000,23700000,22,16.300417207752275,15.650274018081525,-0.6501431896707501
1152,I. Diop,77,12000000,46000,25200000,21,16.300417207752275,15.650274018081525,-0.6501431896707501
967,L. Ocampos,77,12000000,38000,23700000,23,16.300417207752275,15.650274018081525,-0.6501431896707501
1036,N. Mukiele,77,12000000,30000,22800000,20,16.300417207752275,15.650274018081525,-0.6501431896707501
894,J. Ward-Prowse,77,12000000,41000,23700000,23,16.300417207752275,15.650274018081525,-0.6501431896707501
1054,R. De Paul,77,12000000,27000,24000000,24,16.300417207752275,15.650274018081525,-0.6501431896707501
897,G. Pereiro,77,12000000,15000,17700000,23,16.300417207752275,15.650274018081525,-0.6501431896707501
1123,V. Fischer,77,12000000,20000,16500000,24,16.300417207752275,15.650274018081525,-0.6501431896707501
1093,M. Wolf,77,12000000,41000,21300000,23,16.300417207752275,15.650274018081525,-0.6501431896707501
1103,Borja Iglesias,77,12000000,29000,26100000,25,16.300417207752275,15.650274018081525,-0.6501431896707501
744,D. Calabria,78,14500000,52000,27600000,21,16.489659207390805,15.840243185176924,-0.649416022213881
755,J. Gomez,78,14500000,61000,30500000,21,16.489659207390805,15.840243185176924,-0.649416022213881
753,N. Amiri,78,14500000,27000,27600000,21,16.489659207390805,15.840243185176924,-0.649416022213881
613,Denis Suárez,79,17500000,120000,39400000,24,16.67771143889374,16.030212352272322,-0.6474990866214192
586,A. Sanabria,79,17500000,27000,40300000,22,16.67771143889374,16.030212352272322,-0.6474990866214192
579,C. Pavón,79,17500000,27000,28000000,22,16.67771143889374,16.030212352272322,-0.6474990866214192
623,M. Elyounoussi,79,17500000,48000,36800000,23,16.67771143889374,16.030212352272322,-0.6474990866214192
602,Otávio,79,17500000,15000,38500000,23,16.67771143889374,16.030212352272322,-0.6474990866214192
350,A. Milik,81,25500000,71000,48500000,24,17.054189010128656,16.41015068646312,-0.6440383236655371
416,Carlos Soler,80,21000000,31000,48300000,21,16.860032995687696,16.22018151936772,-0.6398514763199756
421,Oyarzabal,80,21000000,29000,48300000,21,16.860032995687696,16.22018151936772,-0.6398514763199756
79,Marco Asensio,85,54000000,215000,121500000,22,17.80449460452855,17.17002735484471,-0.6344672496838406
244,J. Brandt,82,30500000,68000,58000000,22,17.23323724157764,16.600119853558517,-0.633117388019123
328,Dani Ceballos,81,25000000,120000,56300000,21,17.034386382832476,16.41015068646312,-0.6242356963693574
582,F. Cervi,79,17000000,15000,35300000,24,16.64872390202049,16.030212352272322,-0.6185115497481668
588,M. Philipp,79,17000000,53000,30200000,24,16.64872390202049,16.030212352272322,-0.6185115497481668
596,Ricardo Horta,79,17000000,16000,35300000,23,16.64872390202049,16.030212352272322,-0.6185115497481668
577,A. Golovin,79,17000000,61000,35700000,22,16.64872390202049,16.030212352272322,-0.6185115497481668
252,A. Belotti,82,30000000,58000,53300000,24,17.216707939626428,16.600119853558517,-0.6165880860679103
412,M. Gómez,80,20500000,25000,44600000,21,16.835935444108635,16.22018151936772,-0.6157539247409147
429,Rúben Neves,80,20500000,59000,43100000,21,16.835935444108635,16.22018151936772,-0.6157539247409147
748,Daniel Podence,78,14000000,1000,33600000,22,16.454567887579532,15.840243185176924,-0.6143247024026088
808,A. Januzaj,78,14000000,29000,32200000,23,16.454567887579532,15.840243185176924,-0.6143247024026088
813,L. Trossard,78,14000000,17000,23800000,23,16.454567887579532,15.840243185176924,-0.6143247024026088
807,Andreas Pereira,78,14000000,91000,28700000,22,16.454567887579532,15.840243185176924,-0.6143247024026088
811,B. Traoré,78,14000000,57000,27700000,22,16.454567887579532,15.840243185176924,-0.6143247024026088
751,M. Eggestein,78,14000000,22000,26600000,21,16.454567887579532,15.840243185176924,-0.6143247024026088
796,P. Sisto,78,14000000,25000,32200000,23,16.454567887579532,15.840243185176924,-0.6143247024026088
774,S. Lobotka,78,14000000,22000,32200000,23,16.454567887579532,15.840243185176924,-0.6143247024026088
783,J. Correa,78,14000000,42000,24900000,23,16.454567887579532,15.840243185176924,-0.6143247024026088
735,T. Alexander-Arnold,78,14000000,36000,29400000,19,16.454567887579532,15.840243185176924,-0.6143247024026088
727,Éder Militão,78,14000000,10000,30800000,20,16.454567887579532,15.840243185176924,-0.6143247024026088
726,Loren,78,14000000,25000,30500000,24,16.454567887579532,15.840243185176924,-0.6143247024026088
731,S. Nakajima,78,14000000,12000,32200000,23,16.454567887579532,15.840243185176924,-0.6143247024026088
734,A. Lafont,78,14000000,12000,26600000,19,16.454567887579532,15.840243185176924,-0.6143247024026088
789,A. Iwobi,78,14000000,81000,29400000,22,16.454567887579532,15.840243185176924,-0.6143247024026088
736,F. Krovinović,78,14000000,12000,30800000,22,16.454567887579532,15.840243185176924,-0.6143247024026088
761,V. Rongier,78,14000000,25000,27700000,23,16.454567887579532,15.840243185176924,-0.6143247024026088
746,L. Pellegrini,78,14000000,51000,26600000,22,16.454567887579532,15.840243185176924,-0.6143247024026088
800,D. Berardi,78,14000000,50000,24900000,23,16.454567887579532,15.840243185176924,-0.6143247024026088
1097,J. Lukaku,77,11500000,39000,20400000,23,16.25785759333348,15.650274018081525,-0.6075835752519545
932,R. Malinovskyi,77,11500000,17000,18100000,25,16.25785759333348,15.650274018081525,-0.6075835752519545
1091,K. Lasagna,77,11500000,29000,21600000,25,16.25785759333348,15.650274018081525,-0.6075835752519545
963,A. Jahanbakhsh,77,11500000,41000,22700000,24,16.25785759333348,15.650274018081525,-0.6075835752519545
995,B. Bourigeaud,77,11500000,28000,22700000,24,16.25785759333348,15.650274018081525,-0.6075835752519545
907,T. Vilhena,77,11500000,13000,17000000,23,16.25785759333348,15.650274018081525,-0.6075835752519545
1184,F. Andone,77,11500000,49000,22700000,25,16.25785759333348,15.650274018081525,-0.6075835752519545
1077,M. Benassi,77,11500000,45000,20400000,23,16.25785759333348,15.650274018081525,-0.6075835752519545
1127,R. Fraser,77,11500000,52000,22700000,24,16.25785759333348,15.650274018081525,-0.6075835752519545
904,Gabriel,77,11500000,11000,23900000,24,16.25785759333348,15.650274018081525,-0.6075835752519545
1176,F. Grillitsch,77,11500000,30000,20400000,22,16.25785759333348,15.650274018081525,-0.6075835752519545
1487,J. Gnagnon,76,9500000,11000,21900000,21,16.06680235657077,15.460304850986127,-0.6064975055846418
1490,R. Morrison,76,9500000,40000,16900000,25,16.06680235657077,15.460304850986127,-0.6064975055846418
1232,A. Nagy,76,9500000,24000,18100000,23,16.06680235657077,15.460304850986127,-0.6064975055846418
1223,Jesé,76,9500000,59000,18300000,25,16.06680235657077,15.460304850986127,-0.6064975055846418
1451,M. Veljković,76,9500000,21000,18100000,22,16.06680235657077,15.460304850986127,-0.6064975055846418
1448,I. Belfodil,76,9500000,35000,16900000,26,16.06680235657077,15.460304850986127,-0.6064975055846418
1495,R. Holding,76,9500000,64000,20000000,22,16.06680235657077,15.460304850986127,-0.6064975055846418
1528,B. Henrichs,76,9500000,36000,20000000,21,16.06680235657077,15.460304850986127,-0.6064975055846418
1229,J. Denayer,76,9500000,41000,20000000,23,16.06680235657077,15.460304850986127,-0.6064975055846418
1538,J. Iturbe,76,9500000,23000,16900000,25,16.06680235657077,15.460304850986127,-0.6064975055846418
1201,Juanmi,76,9500000,27000,20700000,25,16.06680235657077,15.460304850986127,-0.6064975055846418
1258,V. Berisha,76,9500000,40000,16900000,25,16.06680235657077,15.460304850986127,-0.6064975055846418
1336,João Pedro,76,9500000,30000,16900000,26,16.06680235657077,15.460304850986127,-0.6064975055846418
1389,T. Jedvaj,76,9500000,40000,18100000,22,16.06680235657077,15.460304850986127,-0.6064975055846418
1290,T. Rogić,76,9500000,46000,17800000,25,16.06680235657077,15.460304850986127,-0.6064975055846418
1535,J. Aholou,76,9500000,44000,20000000,24,16.06680235657077,15.460304850986127,-0.6064975055846418
1301,L. Magallán,76,9500000,18000,15200000,24,16.06680235657077,15.460304850986127,-0.6064975055846418
1537,Rubén Sobrino,76,9500000,25000,20700000,26,16.06680235657077,15.460304850986127,-0.6064975055846418
1319,F. Viviani,76,9500000,15000,17800000,26,16.06680235657077,15.460304850986127,-0.6064975055846418
1541,Z. Labyad,76,9500000,17000,14000000,25,16.06680235657077,15.460304850986127,-0.6064975055846418
334,Williams,81,24500000,31000,56400000,24,17.014183675514957,16.41015068646312,-0.6040329890518379
340,P. Zieliński,81,24500000,64000,46600000,24,17.014183675514957,16.41015068646312,-0.6040329890518379
335,A. Correa,81,24500000,54000,55100000,23,17.014183675514957,16.41015068646312,-0.6040329890518379
233,Gelson Martins,82,29500000,59000,62700000,23,17.19990082131005,16.600119853558517,-0.5997809677515313
243,F. Bernardeschi,82,29500000,110000,50900000,24,17.19990082131005,16.600119853558517,-0.5997809677515313
263,Rafinha,82,29500000,165000,62700000,25,17.19990082131005,16.600119853558517,-0.5997809677515313
163,T. Lemar,83,35500000,64000,79900000,22,17.385043254445645,16.790089020653916,-0.5949542337917286
430,Mariano,80,20000000,140000,42500000,24,16.811242831518264,16.22018151936772,-0.5910613121505435
435,M. Dahoud,80,20000000,50000,38000000,22,16.811242831518264,16.22018151936772,-0.5910613121505435
440,Rony Lopes,80,20000000,65000,39500000,22,16.811242831518264,16.22018151936772,-0.5910613121505435
441,Santi Mina,80,20000000,40000,43500000,22,16.811242831518264,16.22018151936772,-0.5910613121505435
599,Bruma,79,16500000,48000,29300000,23,16.61887093887081,16.030212352272322,-0.5886585865984877
630,J. Veretout,79,16500000,59000,29300000,25,16.61887093887081,16.030212352272322,-0.5886585865984877
117,D. Alli,84,42500000,115000,87100000,22,17.565014633894645,16.980058187749314,-0.5849564461453305
116,A. Martial,84,42500000,165000,87100000,22,17.565014633894645,16.980058187749314,-0.5849564461453305
329,H. Lozano,81,24000000,22000,35400000,22,16.99356438831222,16.41015068646312,-0.5834137018490999
343,R. Guerreiro,81,24000000,54000,42600000,24,16.99356438831222,16.41015068646312,-0.5834137018490999
325,Pablo Fornals,81,24000000,36000,52200000,22,16.99356438831222,16.41015068646312,-0.5834137018490999
246,Samu Castillejo,82,29000000,94000,51500000,23,17.182806387950748,16.600119853558517,-0.5826865343922307
234,Gonçalo Guedes,82,29000000,36000,63100000,21,17.182806387950748,16.600119853558517,-0.5826865343922307
227,Rodri,82,29000000,59000,61600000,22,17.182806387950748,16.600119853558517,-0.5826865343922307
229,G. Donnarumma,82,29000000,23000,55100000,19,17.182806387950748,16.600119853558517,-0.5826865343922307
757,Joan Jordán,78,13500000,22000,29400000,23,16.41820024340866,15.840243185176924,-0.5779570582317355
754,Vallejo,78,13500000,81000,30400000,21,16.41820024340866,15.840243185176924,-0.5779570582317355
814,M. Arnold,78,13500000,40000,24000000,24,16.41820024340866,15.840243185176924,-0.5779570582317355
791,N. Bentaleb,78,13500000,29000,24000000,23,16.41820024340866,15.840243185176924,-0.5779570582317355
793,M. Lemina,78,13500000,44000,26700000,24,16.41820024340866,15.840243185176924,-0.5779570582317355
804,Óliver Torres,78,13500000,13000,28000000,23,16.41820024340866,15.840243185176924,-0.5779570582317355
750,G. Martínez,78,13500000,25000,19900000,25,16.41820024340866,15.840243185176924,-0.5779570582317355
799,Pere Pons,78,13500000,31000,29400000,25,16.41820024340866,15.840243185176924,-0.5779570582317355
124,M. Depay,84,42000000,93000,83000000,24,17.553180176247643,16.980058187749314,-0.573121988498329
83,Saúl,85,50500000,77000,107300000,23,17.73748389424559,17.17002735484471,-0.5674565394008795
78,S. Milinković-Savić,85,50500000,73000,89600000,23,17.73748389424559,17.17002735484471,-0.5674565394008795
55,L. Sané,86,61000000,195000,125100000,22,17.926384422137584,17.359996521940108,-0.5663879001974763
167,T. Werner,83,34500000,70000,61200000,22,17.356469882001587,16.790089020653916,-0.5663808613476711
179,S. Gnabry,83,34500000,85000,59500000,22,17.356469882001587,16.790089020653916,-0.5663808613476711
448,E. Can,80,19500000,91000,33600000,24,16.785925023533974,16.22018151936772,-0.5657435041662531
442,K. Demirbay,80,19500000,37000,34600000,24,16.785925023533974,16.22018151936772,-0.5657435041662531
481,A. Oxlade-Chamberlain,80,19500000,94000,38500000,24,16.785925023533974,16.22018151936772,-0.5657435041662531
418,M. Almirón,80,19500000,11000,30700000,24,16.785925023533974,16.22018151936772,-0.5657435041662531
446,M. Sanson,80,19500000,47000,38500000,23,16.785925023533974,16.22018151936772,-0.5657435041662531
449,H. Çalhanoğlu,80,19500000,89000,34600000,24,16.785925023533974,16.22018151936772,-0.5657435041662531
270,W. Zaha,82,28500000,78000,56300000,25,17.16541464523888,16.600119853558517,-0.5652947916803619
271,Luis Alberto,82,28500000,67000,50600000,25,17.16541464523888,16.600119853558517,-0.5652947916803619
265,Morata,82,28500000,135000,54900000,25,17.16541464523888,16.600119853558517,-0.5652947916803619
1044,V. Grifo,77,11000000,33000,19500000,25,16.213405830762646,15.650274018081525,-0.5631318126811209
1099,M. Diakhaby,77,11000000,22000,25300000,21,16.213405830762646,15.650274018081525,-0.5631318126811209
1107,T. Kehrer,77,11000000,43000,22600000,21,16.213405830762646,15.650274018081525,-0.5631318126811209
1132,L. Acosta,77,11000000,8000,17300000,24,16.213405830762646,15.650274018081525,-0.5631318126811209
930,E. Akbaba,77,11000000,51000,21700000,25,16.213405830762646,15.650274018081525,-0.5631318126811209
1104,G. Shibasaki,77,11000000,24000,23900000,26,16.213405830762646,15.650274018081525,-0.5631318126811209
1049,L. Spinazzola,77,11000000,80000,19000000,25,16.213405830762646,15.650274018081525,-0.5631318126811209
949,N. Elvedi,77,11000000,19000,20900000,21,16.213405830762646,15.650274018081525,-0.5631318126811209
1160,F. Cartabia,77,11000000,12000,18400000,25,16.213405830762646,15.650274018081525,-0.5631318126811209
1016,W. Anton,77,11000000,22000,22000000,21,16.213405830762646,15.650274018081525,-0.5631318126811209
1030,M. Dabbur,77,11000000,40000,17300000,26,16.213405830762646,15.650274018081525,-0.5631318126811209
1146,K. Fortounis,77,11000000,1000,25000000,25,16.213405830762646,15.650274018081525,-0.5631318126811209
1155,Paulinho,77,11000000,16000,22800000,25,16.213405830762646,15.650274018081525,-0.5631318126811209
362,Paco Alcácer,81,23500000,59000,41700000,24,16.972510979114386,16.41015068646312,-0.5623602926512667
624,L. Bittencourt,79,16000000,35000,28400000,24,16.588099280204055,16.030212352272322,-0.5578869279317331
573,Marcos Llorente,79,16000000,110000,36000000,23,16.588099280204055,16.030212352272322,-0.5578869279317331
598,M. Meyer,79,16000000,53000,31600000,22,16.588099280204055,16.030212352272322,-0.5578869279317331
585,A. Rebić,79,16000000,39000,28400000,24,16.588099280204055,16.030212352272322,-0.5578869279317331
643,M. Gregoritsch,79,16000000,27000,28400000,24,16.588099280204055,16.030212352272322,-0.5578869279317331
591,L. Alario,79,16000000,67000,28400000,25,16.588099280204055,16.030212352272322,-0.5578869279317331
646,R. Barkley,79,16000000,89000,30800000,24,16.588099280204055,16.030212352272322,-0.5578869279317331
625,Sergi Darder,79,16000000,29000,34800000,24,16.588099280204055,16.030212352272322,-0.5578869279317331
80,N. Fekir,85,50000000,92000,98800000,24,17.72753356339242,17.17002735484471,-0.5575062085477107
1281,L. Teodorczyk,76,9000000,28000,16900000,27,16.012735135300492,15.460304850986127,-0.5524302843143651
1291,G. Töre,76,9000000,43000,17800000,26,16.012735135300492,15.460304850986127,-0.5524302843143651
1366,F. Klaus,76,9000000,38000,16000000,25,16.012735135300492,15.460304850986127,-0.5524302843143651
1449,J. Campbell,76,9000000,19000,16900000,26,16.012735135300492,15.460304850986127,-0.5524302843143651
1459,O. Romero,76,9000000,16000,20000000,25,16.012735135300492,15.460304850986127,-0.5524302843143651
1259,R. Freuler,76,9000000,26000,16000000,26,16.012735135300492,15.460304850986127,-0.5524302843143651
1208,Wu Lei,76,9000000,19000,20500000,26,16.012735135300492,15.460304850986127,-0.5524302843143651
1527,F. Kainz,76,9000000,28000,16000000,25,16.012735135300492,15.460304850986127,-0.5524302843143651
1198,M. Holgate,76,9000000,50000,18900000,21,16.012735135300492,15.460304850986127,-0.5524302843143651
1562,A. Djiku,76,9000000,18000,19800000,23,16.012735135300492,15.460304850986127,-0.5524302843143651
1279,Embarba,76,9000000,20000,20500000,26,16.012735135300492,15.460304850986127,-0.5524302843143651
1428,F. Bustos,76,9000000,16000,14400000,22,16.012735135300492,15.460304850986127,-0.5524302843143651
1497,N. Sliti,76,9000000,15000,18700000,25,16.012735135300492,15.460304850986127,-0.5524302843143651
1397,N. Sansone,76,9000000,32000,19600000,26,16.012735135300492,15.460304850986127,-0.5524302843143651
1353,P. Mantalos,76,9000000,1000,20500000,26,16.012735135300492,15.460304850986127,-0.5524302843143651
1410,E. Balanta,76,9000000,23000,15300000,25,16.012735135300492,15.460304850986127,-0.5524302843143651
1347,A. Gray,76,9000000,53000,17800000,27,16.012735135300492,15.460304850986127,-0.5524302843143651
1385,S. Hanni,76,9000000,1000,19600000,27,16.012735135300492,15.460304850986127,-0.5524302843143651
1309,G. Fernández,76,9000000,21000,14200000,26,16.012735135300492,15.460304850986127,-0.5524302843143651
1405,F. Mollet,76,9000000,25000,18700000,26,16.012735135300492,15.460304850986127,-0.5524302843143651
